contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
MSFT241227P00437500,2024-12-23 20:56:11+00:00,437.5,3.78,3.25,5.35,-0.5200002,-12.093028,1032.0,1745,0.22657023437499998,True,REGULAR,USD,2024-12-27
MSFT241227P00440000,2024-12-23 20:56:39+00:00,440.0,5.28,4.0,6.95,-1.0299997,-16.323292,393.0,3031,0.22705851074218747,True,REGULAR,USD,2024-12-27
MSFT241227P00442500,2024-12-23 20:54:40+00:00,442.5,8.4,6.6,8.25,0.6799998,8.808289,139.0,1056,0.19043778320312502,True,REGULAR,USD,2024-12-27
MSFT241227P00445000,2024-12-23 20:23:43+00:00,445.0,11.32,9.65,11.7,1.3499994,13.540615,118.0,1028,0.2995675512695312,True,REGULAR,USD,2024-12-27
MSFT241227P00447500,2024-12-23 18:02:58+00:00,447.5,13.06,12.15,14.0,1.3600006,11.623937,50.0,1245,0.32471378417968744,True,REGULAR,USD,2024-12-27
MSFT241227P00450000,2024-12-23 20:57:06+00:00,450.0,14.19,14.65,16.5,-0.31000042,-2.137934,211.0,1211,0.36206692626953124,True,REGULAR,USD,2024-12-27
MSFT241227P00452500,2024-12-23 20:46:17+00:00,452.5,17.5,16.55,18.95,1.5500002,9.71787,41.0,439,0.3940490283203125,True,REGULAR,USD,2024-12-27
MSFT241227P00455000,2024-12-23 16:49:34+00:00,455.0,21.05,19.15,21.75,2.0999985,11.081786,17.0,323,0.45435115966796874,True,REGULAR,USD,2024-12-27
MSFT241227P00457500,2024-12-20 17:37:33+00:00,457.5,23.12,20.7,23.95,7.880001,51.706047,1.0,10,0.46252978881835943,True,REGULAR,USD,2024-12-27
MSFT241227P00460000,2024-12-23 20:13:30+00:00,460.0,25.7,23.65,26.55,2.5,10.775862,87.0,12,0.504765694580078,True,REGULAR,USD,2024-12-27
MSFT241227P00462500,2024-12-20 20:25:24+00:00,462.5,25.85,26.1,28.95,0.0,0.0,20.0,2,0.527470545654297,True,REGULAR,USD,2024-12-27
MSFT241227P00465000,2024-12-23 19:45:45+00:00,465.0,29.97,28.6,31.05,3.7399998,14.258482,125.0,4,0.5163622583007812,True,REGULAR,USD,2024-12-27
MSFT241227P00467500,2024-12-23 16:31:33+00:00,467.5,34.11,31.1,33.95,7.720001,29.25351,34.0,16,0.5896037133789063,True,REGULAR,USD,2024-12-27
MSFT241227P00470000,2024-12-20 15:33:08+00:00,470.0,34.59,34.35,36.45,0.0,0.0,4.0,3,0.6196327099609377,True,REGULAR,USD,2024-12-27
MSFT241227P00472500,2024-12-17 14:36:29+00:00,472.5,21.7,36.1,38.95,0.0,0.0,,2,0.649417568359375,True,REGULAR,USD,2024-12-27
MSFT241227P00475000,2024-12-23 15:16:06+00:00,475.0,39.7,38.6,41.45,5.049999,14.574312,16.0,21,0.6784700122070313,True,REGULAR,USD,2024-12-27
MSFT241227P00480000,2024-12-23 14:59:12+00:00,480.0,43.77,43.6,46.4,5.7700005,15.184212,3.0,0,0.7292507543945312,True,REGULAR,USD,2024-12-27
MSFT241227P00487500,2024-12-16 20:49:59+00:00,487.5,36.8,51.1,53.55,0.0,0.0,,0,0.7641625146484375,True,REGULAR,USD,2024-12-27
MSFT241227P00490000,2024-12-19 20:41:40+00:00,490.0,51.4,53.6,56.15,0.0,0.0,21.0,6,0.516606396484375,True,REGULAR,USD,2024-12-27
MSFT241227P00492500,2024-12-19 20:41:40+00:00,492.5,53.91,56.1,58.95,0.0,0.0,,0,0.6025430371093752,True,REGULAR,USD,2024-12-27
MSFT241227P00500000,2024-12-05 19:40:42+00:00,500.0,56.84,63.6,66.45,0.0,0.0,,0,0.6630893066406252,True,REGULAR,USD,2024-12-27
MSFT241227P00505000,2024-12-19 20:50:00+00:00,505.0,67.6,68.6,71.6,0.0,0.0,1.0,0,0.729494892578125,True,REGULAR,USD,2024-12-27
MSFT241227P00510000,2024-12-19 20:50:00+00:00,510.0,72.6,73.6,76.1,0.0,0.0,1.0,0,0.6445348046875,True,REGULAR,USD,2024-12-27
MSFT241227P00515000,2024-11-21 20:38:36+00:00,515.0,101.39,76.45,80.5,0.0,0.0,,0,0.92187578125,True,REGULAR,USD,2024-12-27
